SAMPLEID,PLOTID,geometry,centroid,long,lat
377203286,377203286,"POLYGON ((33.608298440185436 -11.532756397923848, 33.608298440185436 -11.531856684238582, 33.60921083803145 -11.531856684238582, 33.60921083803145 -11.532756397923848, 33.608298440185436 -11.532756397923848))",POINT (33.60875463910844 -11.532306529631214),33.60875463910844,-11.532306529631214
376908043,376908043,"POLYGON ((33.49252938582912 -11.39458869888932, 33.49252938582912 -11.39368898520405, 33.49344133761239 -11.39368898520405, 33.49344133761239 -11.39458869888932, 33.49252938582912 -11.39458869888932))",POINT (33.49298536172075 -11.394138830694546),33.49298536172075,-11.394138830694546
378338362,378338362,"POLYGON ((34.14740011300837 -11.781955931780601, 34.14740011300837 -11.781056218095342, 34.14831332991504 -11.781056218095342, 34.14831332991504 -11.781955931780601, 34.14740011300837 -11.781955931780601))",POINT (34.1478567214617 -11.781506063314751),34.1478567214617,-11.781506063314751
378141530,378141530,"POLYGON ((34.06034825668608 -11.7201352443837, 34.06034825668608 -11.719235530698437, 34.06126126865437 -11.719235530698437, 34.06126126865437 -11.7201352443837, 34.06034825668608 -11.7201352443837))",POINT (34.06080476267022 -11.719685375960424),34.06080476267022,-11.719685375960424
378279321,378279321,"POLYGON ((34.14789453933271 -11.685025214390594, 34.14789453933271 -11.684125500705333, 34.14880743542374 -11.684125500705333, 34.14880743542374 -11.685025214390594, 34.14789453933271 -11.685025214390594))",POINT (34.14835098737822 -11.684575345991606),34.14835098737822,-11.684575345991606
378180903,378180903,"POLYGON ((34.098153158375254 -11.672366281905646, 34.098153158375254 -11.671466568220385, 34.09906601277797 -11.671466568220385, 34.09906601277797 -11.672366281905646, 34.098153158375254 -11.672366281905646))",POINT (34.098609585576604 -11.671916413515433),34.098609585576604,-11.671916413515433
378036563,378036563,"POLYGON ((34.04288504048142 -11.601566452364704, 34.04288504048142 -11.600666738679442, 34.04379766261802 -11.600666738679442, 34.04379766261802 -11.601566452364704, 34.04288504048142 -11.601566452364704))",POINT (34.043341351549714 -11.60111658402382),34.043341351549714,-11.60111658402382
377760985,377760985,"POLYGON ((33.88014606067585 -11.635204154265503, 33.88014606067585 -11.63430444058024, 33.88105879297587 -11.63430444058024, 33.88105879297587 -11.635204154265503, 33.88014606067585 -11.635204154265503))",POINT (33.88060242682586 -11.63475428590115),33.88060242682586,-11.63475428590115
378134993,378134993,"POLYGON ((34.129604046546156 -11.504953427262718, 34.129604046546156 -11.50405371357745, 34.13051635417116 -11.50405371357745, 34.13051635417116 -11.504953427262718, 34.129604046546156 -11.504953427262718))",POINT (34.130060200358656 -11.50450355898965),34.130060200358656,-11.50450355898965
378135016,378135016,"POLYGON ((34.20022952314063 -11.295668052943341, 34.20022952314063 -11.29476833925807, 34.201141159089914 -11.29476833925807, 34.201141159089914 -11.295668052943341, 34.20022952314063 -11.295668052943341))",POINT (34.20068534111527 -11.29521818481944),34.20068534111527,-11.29521818481944
378259597,378259597,"POLYGON ((34.01266650564683 -12.050861799827306, 34.01266650564683 -12.049962086142054, 34.0135806274513 -12.049962086142054, 34.0135806274513 -12.050861799827306, 34.01266650564683 -12.050861799827306))",POINT (34.01312356654906 -12.050411931179328),34.01312356654906,-12.050411931179328
378200541,378200541,"POLYGON ((33.966673941434166 -12.090657028204367, 33.966673941434166 -12.089757314519114, 33.96758819901771 -12.089757314519114, 33.96758819901771 -12.090657028204367, 33.966673941434166 -12.090657028204367))",POINT (33.96713107022593 -12.09020715952983),33.96713107022593,-12.09020715952983
378108678,378108678,"POLYGON ((33.899973094674806 -12.138363250782362, 33.899973094674806 -12.137463537097114, 33.90088751566393 -12.137463537097114, 33.90088751566393 -12.138363250782362, 33.899973094674806 -12.138363250782362))",POINT (33.900430305169365 -12.13791338207619),33.900430305169365,-12.13791338207619
378305509,378305509,"POLYGON ((33.98367190058723 -12.20954476878034, 33.98367190058723 -12.20864505509509, 33.98458656667846 -12.20864505509509, 33.98458656667846 -12.20954476878034, 33.98367190058723 -12.20954476878034))",POINT (33.98412923363285 -12.20909490002724),33.98412923363285,-12.20909490002724
378036490,378036490,"POLYGON ((33.81632912959414 -12.267093725168392, 33.81632912959414 -12.266194011483146, 33.81724399497453 -12.266194011483146, 33.81724399497453 -12.267093725168392, 33.81632912959414 -12.267093725168392))",POINT (33.81678656228433 -12.266643856377609),33.81678656228433,-12.266643856377609
378318616,378318616,"POLYGON ((33.943179885836884 -12.348845045430663, 33.943179885836884 -12.34794533174542, 33.94409503605515 -12.34794533174542, 33.94409503605515 -12.348845045430663, 33.943179885836884 -12.348845045430663))",POINT (33.94363746094601 -12.348395176586745),33.94363746094601,-12.348395176586745
